date,GDP,CPI,Unemployment,FedFundsRate
2015-01-31,3.6,234.747,5.7,0.11
2015-02-28,3.6,235.342,5.5,0.11
2015-03-31,3.6,235.976,5.4,0.11
2015-04-30,2.5,236.222,5.4,0.12
2015-05-31,2.5,237.001,5.6,0.12
2015-06-30,2.5,237.657,5.3,0.13
2015-07-31,1.6,238.034,5.2,0.13
2015-08-31,1.6,238.033,5.1,0.14
2015-09-30,1.6,237.498,5.0,0.14
2015-10-31,0.7,237.733,5.0,0.12
2015-11-30,0.7,238.017,5.1,0.12
2015-12-31,0.7,237.761,5.0,0.24
2016-01-31,2.3,237.652,4.8,0.34
2016-02-29,2.3,237.336,4.9,0.38
2016-03-31,2.3,238.08,5.0,0.36
2016-04-30,1.3,238.992,5.1,0.37
2016-05-31,1.3,239.557,4.8,0.37
2016-06-30,1.3,240.222,4.9,0.38
2016-07-31,2.9,240.101,4.8,0.39
2016-08-31,2.9,240.545,4.9,0.4
2016-09-30,2.9,241.176,5.0,0.4
2016-10-31,2.2,241.741,4.9,0.4
2016-11-30,2.2,242.026,4.7,0.41
2016-12-31,2.2,242.637,4.7,0.54
2017-01-31,2.0,243.618,4.7,0.65
2017-02-28,2.0,244.006,4.6,0.66
2017-03-31,2.0,243.892,4.4,0.79
2017-04-30,2.3,244.193,4.4,0.9
2017-05-31,2.3,244.004,4.4,0.91
2017-06-30,2.3,244.163,4.3,1.04
2017-07-31,3.2,244.243,4.3,1.15
2017-08-31,3.2,245.183,4.4,1.16
2017-09-30,3.2,246.435,4.3,1.15
2017-10-31,4.6,246.626,4.2,1.15
2017-11-30,4.6,247.284,4.2,1.16
2017-12-31,4.6,247.805,4.1,1.3
2018-01-31,3.3,248.859,4.0,1.41
2018-02-28,3.3,249.529,4.1,1.42
2018-03-31,3.3,249.577,4.0,1.51
2018-04-30,2.1,250.227,4.0,1.69
2018-05-31,2.1,250.792,3.8,1.7
2018-06-30,2.1,251.018,4.0,1.82
2018-07-31,2.5,251.214,3.8,1.91
2018-08-31,2.5,251.663,3.8,1.91
2018-09-30,2.5,252.182,3.7,1.95
2018-10-31,0.6,252.772,3.8,2.19
2018-11-30,0.6,252.594,3.8,2.2
2018-12-31,0.6,252.767,3.9,2.27
2019-01-31,2.5,252.561,4.0,2.4
2019-02-28,2.5,253.319,3.8,2.4
2019-03-31,2.5,254.277,3.8,2.41
2019-04-30,3.4,255.233,3.7,2.42
2019-05-31,3.4,255.296,3.6,2.39
2019-06-30,3.4,255.213,3.6,2.38
2019-07-31,4.8,255.802,3.7,2.4
2019-08-31,4.8,256.036,3.6,2.13
2019-09-30,4.8,256.43,3.5,2.04
2019-10-31,2.8,257.155,3.6,1.83
2019-11-30,2.8,257.879,3.6,1.55
2019-12-31,2.8,258.63,3.6,1.55
2020-01-31,-5.5,259.127,3.6,1.55
2020-02-29,-5.5,259.25,3.5,1.58
2020-03-31,-5.5,258.076,4.4,0.65
2020-04-30,-28.1,256.032,14.8,0.05
2020-05-31,-28.1,255.802,13.2,0.05
2020-06-30,-28.1,257.042,11.0,0.08
2020-07-31,35.2,258.352,10.2,0.09
2020-08-31,35.2,259.316,8.4,0.1
2020-09-30,35.2,259.997,7.8,0.09
2020-10-31,4.4,260.319,6.9,0.09
2020-11-30,4.4,260.911,6.7,0.09
2020-12-31,4.4,262.045,6.7,0.09
2021-01-31,5.6,262.639,6.4,0.09
2021-02-28,5.6,263.573,6.2,0.08
2021-03-31,5.6,264.847,6.1,0.07
2021-04-30,6.4,266.625,6.1,0.07
2021-05-31,6.4,268.404,5.8,0.06
2021-06-30,6.4,270.71,5.9,0.08
2021-07-31,3.5,271.965,5.4,0.1
2021-08-31,3.5,272.752,5.1,0.09
2021-09-30,3.5,273.942,4.7,0.08
2021-10-31,7.4,276.528,4.5,0.08
2021-11-30,7.4,278.824,4.2,0.08
2021-12-31,7.4,280.806,3.9,0.08
2022-01-31,-1.0,282.542,4.0,0.08
2022-02-28,-1.0,284.525,3.8,0.08
2022-03-31,-1.0,287.467,3.7,0.2
2022-04-30,0.3,288.582,3.7,0.33
2022-05-31,0.3,291.299,3.6,0.77
2022-06-30,0.3,295.072,3.6,1.21
2022-07-31,2.7,294.94,3.5,1.68
2022-08-31,2.7,295.162,3.6,2.33
2022-09-30,2.7,296.421,3.5,2.56
2022-10-31,3.4,297.979,3.6,3.08
2022-11-30,3.4,298.708,3.6,3.78
2022-12-31,3.4,298.808,3.5,4.1
2023-01-31,2.8,300.456,3.5,4.33
2023-02-28,2.8,301.476,3.6,4.57
2023-03-31,2.8,301.643,3.5,4.65
2023-04-30,2.4,302.858,3.4,4.83
2023-05-31,2.4,303.316,3.6,5.06
2023-06-30,2.4,304.099,3.6,5.08
2023-07-31,4.4,304.615,3.5,5.12
2023-08-31,4.4,306.138,3.7,5.33
2023-09-30,4.4,307.374,3.8,5.33
2023-10-31,3.2,307.653,3.9,5.33
2023-11-30,3.2,308.087,3.7,5.33
2023-12-31,3.2,308.735,3.8,5.33
2024-01-31,1.6,309.794,3.7,5.33
2024-02-29,1.6,311.022,3.9,5.33
2024-03-31,1.6,312.107,3.9,5.33
2024-04-30,3.0,313.016,3.9,5.33
2024-05-31,3.0,313.14,4.0,5.33
2024-06-30,3.0,313.131,4.1,5.33
2024-07-31,3.1,313.566,4.2,5.33
2024-08-31,3.1,314.131,4.2,5.33
2024-09-30,3.1,314.851,4.1,5.13
2024-10-31,2.4,315.564,4.1,4.83
2024-11-30,2.4,316.449,4.2,4.64
2024-12-31,2.4,317.603,4.1,4.48
2025-01-31,-0.3,319.086,4.0,4.33
2025-02-28,-0.3,319.775,4.1,4.33
2025-03-31,-0.3,319.615,4.2,4.33
